SiMonPro Performance Profiling Report
=====================================

         628757 function calls (612849 primitive calls) in 3.901 seconds

   Ordered by: cumulative time
   List reduced from 1840 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     90/4    0.413    0.005    0.767    0.192 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:206(get_text_width_height_descent)
      106    0.017    0.000    0.532    0.005 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1276(_update_ticks)
    204/2    0.011    0.000    0.520    0.260 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/text.py:926(get_window_extent)
    312/2    0.052    0.000    0.515    0.258 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/text.py:358(_get_layout)
      142    0.004    0.000    0.470    0.003 /home/pn/Projects/simonpro-latest/src/database/db_connection.py:131(execute_query)
        4    0.001    0.000    0.329    0.082 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/figure.py:1807(get_tightbbox)
        4    0.002    0.000    0.327    0.082 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:4508(get_tightbbox)
       26    0.000    0.000    0.312    0.012 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/pyplot.py:2782(gca)
       26    0.000    0.000    0.312    0.012 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/figure.py:1715(gca)
        4    0.000    0.000    0.311    0.078 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/figure.py:651(add_subplot)
        4    0.001    0.000    0.311    0.078 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:615(__init__)
    804/5    0.012    0.000    0.310    0.062 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
     37/3    0.001    0.000    0.308    0.103 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
    50/32    0.001    0.000    0.297    0.009 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:73(wrapper)
      142    0.001    0.000    0.294    0.002 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/psycopg2/extras.py:233(execute)
      142    0.290    0.002    0.293    0.002 {function RealDictCursor.execute at 0x7f4bf1f2a5c0}
       45    0.001    0.000    0.284    0.006 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/axis.py:1585(_get_tick)
       10    0.001    0.000    0.278    0.028 /home/pn/Projects/simonpro-latest/src/services/DashboardService.py:18(get_chart_data)
        4    0.000    0.000    0.259    0.065 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:1445(clear)
        4    0.001    0.000    0.259    0.065 /home/pn/Projects/simonpro-latest/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:1313(__clear)


